name,url,category,price
Nano Plastia Keratin Treatment 250ml And Purifying Shampoo 250ml Set,https://www.sinorbeauty.com/details/Nano-Plastia-Keratin-Treatment-250ml-And-Purifying-Shampoo-250ml-Set/101498/,HAIR,Tk.3500
Nano Plastia Keratin Treatment And Purifying Shampoo,https://www.sinorbeauty.com/details/Nano-Plastia-Keratin-Treatment-And-Purifying-Shampoo/101497/,HAIR,Tk.7450
"V&G Professional Hair Curling Tong - 671, 25mm",https://www.sinorbeauty.com/details/V-G-Professional-Hair-Curling-Tong-671-25mm/101483/,HAIR,Tk.1850
"V&G Professional Hair Curling Tong - 671, 22mm",https://www.sinorbeauty.com/details/V-G-Professional-Hair-Curling-Tong-671-22mm/101482/,HAIR,Tk.1850
V&G C40 Curling Tong 22mm,https://www.sinorbeauty.com/details/V-G-C40-Curling-Tong-22mm/101481/,HAIR,Tk.1850
Vgr 450 Degree V-551 Professional Hair Straightener With Led Display,https://www.sinorbeauty.com/details/Vgr-450-Degree-V-551-Professional-Hair-Straightener-With-Led-Display/101480/,HAIR,Tk.2300
Vgr 450 Degree V-518 Professional Hair Straightener With Led Display,https://www.sinorbeauty.com/details/Vgr-450-Degree-V-518-Professional-Hair-Straightener-With-Led-Display/101479/,HAIR,Tk.1950
V&G Professional Hair Crimper,https://www.sinorbeauty.com/details/V-G-Professional-Hair-Crimper/101478/,HAIR,Tk.1650
V&G Professional Hair Straightner 240*C Temprature,https://www.sinorbeauty.com/details/V-G-Professional-Hair-Straightner-240-C-Temprature/101477/,HAIR,Tk.1920
V&G Professional Hair Crimper 240*C Temprature,https://www.sinorbeauty.com/details/V-G-Professional-Hair-Crimper-240-C-Temprature/101476/,HAIR,Tk.2500
V&G Professional Hair Straightner 240*C Temprature,https://www.sinorbeauty.com/details/V-G-Professional-Hair-Straightner-240-C-Temprature/101475/,HAIR,Tk.1950
Keune Care Keratin Smooth Shampoo 300ml & Conditioner 250ml Set,https://www.sinorbeauty.com/details/Keune-Care-Keratin-Smooth-Shampoo-300ml-Conditioner-250ml-Set/101472/,HAIR,Tk.4100
Keune Care Keratin Smooth Conditioner 250ml,https://www.sinorbeauty.com/details/Keune-Care-Keratin-Smooth-Conditioner-250ml/101471/,HAIR,Tk.2150
Keune Care Keratin Smooth Shampoo 300ml,https://www.sinorbeauty.com/details/Keune-Care-Keratin-Smooth-Shampoo-300ml/101470/,HAIR,Tk.2150
Keune Care Silver Conditioner & Shampoo 300ml Set,https://www.sinorbeauty.com/details/Keune-Care-Silver-Conditioner-Shampoo-300ml-Set/101469/,HAIR,Tk.4200
Keune Care Silver Conditioner 250ml,https://www.sinorbeauty.com/details/Keune-Care-Silver-Conditioner-250ml/101468/,HAIR,Tk.2250
Keune Care Silver Shampoo 300ml,https://www.sinorbeauty.com/details/Keune-Care-Silver-Shampoo-300ml/101467/,HAIR,Tk.2450
Keune Derma Exfoliate Shampoo 300ml,https://www.sinorbeauty.com/details/Keune-Derma-Exfoliate-Shampoo-300ml/101466/,HAIR,Tk.2250
Keune So Pure Natural Balance Moisturizing Shampoo & Hair Treatment Hair Mask,https://www.sinorbeauty.com/details/Keune-So-Pure-Natural-Balance-Moisturizing-Shampoo-Hair-Treatment-Hair-Mask/101464/,HAIR,Tk.4400
Keune So Pure Natural Balance Moisturizing Treatment Hair Mask For Dry Hair 200ml,https://www.sinorbeauty.com/details/Keune-So-Pure-Natural-Balance-Moisturizing-Treatment-Hair-Mask-For-Dry-Hair-200ml/101463/,HAIR,Tk.2450
Keune So Pure Natural Balance Moisturizing Shampoo 250ml,https://www.sinorbeauty.com/details/Keune-So-Pure-Natural-Balance-Moisturizing-Shampoo-250ml/101462/,HAIR,Tk.2250
Diwel Red Wine Perm | Diwel Red Wine Hair Rebonding Cream 800ml + 800ml,https://www.sinorbeauty.com/details/Diwel-Red-Wine-Perm-Diwel-Red-Wine-Hair-Rebonding-Cream-800ml-800ml/101460/,HAIR,Tk.2850
Nano Platia Brazilian Keratin Hair Treatment 1000ml,https://www.sinorbeauty.com/details/Nano-Platia-Brazilian-Keratin-Hair-Treatment-1000ml/101455/,HAIR,Tk.4500
Purc Brazilian Keratin Treatment 1000ml - 5%,https://www.sinorbeauty.com/details/Purc-Brazilian-Keratin-Treatment-1000ml-5-/101453/,HAIR,Tk.5000
Purc Brazilian Keratin Treatment 1000ml - 12%,https://www.sinorbeauty.com/details/Purc-Brazilian-Keratin-Treatment-1000ml-12-/101452/,HAIR,Tk.4500
Purc Brazilian Keratin Treatment 100ml + 100ml,https://www.sinorbeauty.com/details/Purc-Brazilian-Keratin-Treatment-100ml-100ml/101451/,HAIR,Tk.1950
Botox Keratin Treatment 1000ml,https://www.sinorbeauty.com/details/Botox-Keratin-Treatment-1000ml/101450/,HAIR,Tk.4000
Bolan Brazilian Keratin Treatment 1000ml,https://www.sinorbeauty.com/details/Bolan-Brazilian-Keratin-Treatment-1000ml/101449/,HAIR,Tk.4500
Purc Brazilian Blowout Keratin Treatment 1000ml,https://www.sinorbeauty.com/details/Purc-Brazilian-Blowout-Keratin-Treatment-1000ml/101448/,HAIR,Tk.4500
Ap Keratin Repair Hair Treatment 1000ml,https://www.sinorbeauty.com/details/Ap-Keratin-Repair-Hair-Treatment-1000ml/101447/,HAIR,Tk.4000
Ap Botox Keratin Hair Treatment 1000ml,https://www.sinorbeauty.com/details/Ap-Botox-Keratin-Hair-Treatment-1000ml/101446/,HAIR,Tk.4500
BUTTERFLY SHADOW HAIR SETTING SPRAY 600ML,https://www.sinorbeauty.com/details/BUTTERFLY-SHADOW-HAIR-SETTING-SPRAY-600ML/101438/,HAIR,Tk.1350
GW Hair Rebonding Keratin  Cream,https://www.sinorbeauty.com/details/GW-Hair-Rebonding-Keratin-Cream/101437/,HAIR,Tk.1850
